,time,memory,game,algorithm,level
0,not solve,not solve,Battleship,geneticAI,6
1,not solve,not solve,Battleship,geneticAI,6
2,not solve,not solve,Battleship,geneticAI,6
3,not solve,not solve,Battleship,geneticAI,6
4,not solve,not solve,Battleship,geneticAI,6
5,not solve,not solve,Battleship,geneticAI,8
6,not solve,not solve,Battleship,geneticAI,8
7,not solve,not solve,Battleship,geneticAI,8
8,not solve,not solve,Battleship,geneticAI,8
9,not solve,not solve,Battleship,geneticAI,8
10,not solve,not solve,Battleship,geneticAI,10
11,not solve,not solve,Battleship,geneticAI,10
12,not solve,not solve,Battleship,geneticAI,10
13,not solve,not solve,Battleship,geneticAI,10
14,not solve,not solve,Battleship,geneticAI,10
